time,ax,ay,az,gx,gy,gz
0.0,-1.37,-9.81,-0.91,0.01,0.0,0.01
973628.0,-1.4,-9.79,-0.89,0.01,0.0,0.02
954977.0,-1.37,-9.82,-0.9,0.01,-0.0,0.0
